time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_odom, y_odom, x_real, y_real, z_real, x_est, y_est, x_imu, y_imu
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.570796, -183.800003, 80.199997, -183.800003, 80.199997, -183.800003, 80.199997, 1.512195, -183.800003, 80.199997, -183.800003, 80.199997
0.023000, 0.009659, 0.107342, 0.120376, -0.081095, 0.000000, 0.000000, 0.000000, -1.579662, -183.800003, 80.199997, -183.799515, 80.194551, -183.800095, 80.199966, 1.009917, -183.799208, 80.195858, -183.799958, 80.200172
0.056000, 0.007716, -0.029837, 0.217360, -0.128398, 1.000000, 0.000000, 0.000000, -1.456625, -183.800003, 80.199997, -183.799998, 80.198761, -183.800110, 80.199974, 1.012796, -183.799174, 80.196285, -183.799954, 80.200156
0.089000, 0.019695, -0.200589, 0.104128, -0.040432, 1.000000, 0.000000, 0.000000, -1.588580, -183.800003, 80.199997, -183.799974, 80.200095, -183.800125, 80.199974, 1.015249, -183.799129, 80.196662, -183.799943, 80.200047
0.122000, -0.068613, 0.260001, 0.049112, 0.030457, 1.000000, 0.000000, 0.000000, -1.584791, -183.800003, 80.199997, -183.799988, 80.199090, -183.800232, 80.200226, 1.017319, -183.799115, 80.196984, -183.799981, 80.200188
0.155000, -0.039630, -1.237432, -0.032791, 0.034556, 1.000000, 0.000000, 0.000000, -1.589743, -183.800003, 80.199997, -183.800010, 80.197950, -183.799896, 80.198586, 1.019119, -183.799161, 80.196714, -183.800002, 80.199514
0.188000, -0.227278, 0.039715, -0.043299, 0.019631, 1.000000, 0.000000, 0.000000, -1.616653, -183.800003, 80.199997, -183.800039, 80.197303, -183.799561, 80.197128, 1.020620, -183.799343, 80.195815, -183.800126, 80.199536
0.221000, -0.127976, -0.443599, 0.035678, 0.108034, 1.000000, 0.000000, 0.000000, -1.562064, -183.800003, 80.199997, -183.800008, 80.193738, -183.799210, 80.195412, 1.021883, -183.799692, 80.194531, -183.800196, 80.199294
0.254000, 0.071613, -2.569862, -0.010120, 0.101311, 1.000000, 0.000000, 0.000000, -1.705032, -183.800003, 80.199997, -183.800456, 80.190424, -183.797089, 80.191109, 1.023001, -183.800077, 80.191576, -183.800157, 80.197895
0.287000, -0.263352, -3.207076, 0.072850, 0.215681, 1.000000, 0.000000, 0.000000, -1.428833, -183.800003, 80.199997, -183.799449, 80.183379, -183.794235, 80.183632, 1.023995, -183.800464, 80.185408, -183.800300, 80.196149
0.320000, 0.159590, -2.664230, -0.017792, 0.257414, 1.000000, 0.000000, 0.000000, -1.540833, -183.800003, 80.199997, -183.799194, 80.174888, -183.789474, 80.172989, 1.024850, -183.800857, 80.176099, -183.800213, 80.194698
0.353000, -0.046193, -1.614115, 0.041006, 0.415894, 1.000000, 0.000000, 0.000000, -1.501976, -183.800003, 80.199997, -183.798250, 80.161196, -183.782959, 80.160904, 1.025550, -183.801096, 80.164314, -183.800238, 80.193819
0.386000, 0.266253, -4.049709, -0.030035, 0.562379, 1.000000, 0.000000, 0.000000, -1.637045, -183.800003, 80.199997, -183.799479, 80.142678, -183.774002, 80.145020, 1.026192, -183.801284, 80.149185, -183.800093, 80.191614
0.419000, 0.211052, -4.301332, 0.026797, 0.718761, 1.000000, 0.000000, 0.000000, -1.490679, -184.799839, 81.487694, -183.797581, 80.119035, -183.760193, 80.124146, 1.026799, -184.380781, 80.917706, -183.799978, 80.189272
0.452000, 0.429760, -3.102817, 0.146661, 0.747848, 1.000000, 0.000000, 0.000000, -1.680947, -184.799839, 81.487694, -183.800294, 80.094505, -183.742645, 80.099800, 1.027314, -184.382693, 80.897121, -183.799744, 80.187583
0.485000, 0.634141, -3.451418, 0.013824, 0.819476, 1.000000, 0.000000, 0.000000, -1.565835, -184.799839, 81.487694, -183.800159, 80.067463, -183.722229, 80.071892, 1.027753, -184.382603, 80.870980, -183.799399, 80.185703
0.518000, 0.587565, -3.052876, 0.086263, 0.996213, 1.000000, 0.000000, 0.000000, -1.518743, -184.799839, 81.487694, -183.798449, 80.034633, -183.698730, 80.041138, 1.028108, -184.380384, 80.839219, -183.799079, 80.184041
0.551000, 0.757202, -2.339773, -0.023927, 1.144928, 1.000000, 0.000000, 0.000000, -1.639040, -184.799839, 81.487694, -183.801025, 79.996938, -183.672943, 80.008629, 1.028367, -184.376147, 80.802380, -183.798667, 80.182767
0.584000, 0.943518, -2.114720, 0.011413, 1.119966, 1.000000, 0.000000, 0.000000, -1.414513, -184.799839, 81.487694, -183.795273, 79.960429, -183.645187, 79.974701, 1.028545, -184.369472, 80.761125, -183.798153, 80.181616
0.617000, 0.984605, -1.563896, 0.089076, 1.156906, 1.000000, 0.000000, 0.000000, -1.680281, -184.799839, 81.487694, -183.799444, 79.922480, -183.615295, 79.939507, 1.028665, -184.360670, 80.715954, -183.797617, 80.180764
0.650000, 0.802467, -1.295969, -0.132064, 1.255330, 1.000000, 0.000000, 0.000000, -1.429704, -184.799839, 81.487694, -183.793619, 79.881466, -183.583420, 79.903488, 1.028734, -184.349555, 80.667334, -183.797180, 80.180059
0.683000, 0.934674, -1.085639, -0.200937, 1.190276, 1.000000, 0.000000, 0.000000, -1.433709, -184.799839, 81.487694, -183.788251, 79.842555, -183.549759, 79.866959, 1.028762, -184.336276, 80.615757, -183.796671, 80.179467
0.716000, 1.056328, -1.165488, 0.026161, 1.330317, 0.988660, 0.000000, 0.000000, -1.554910, -184.799839, 81.487694, -183.787554, 79.798660, -183.514648, 79.829895, 1.028762, -184.321010, 80.561261, -183.796096, 80.178833
0.749000, 1.095226, -1.232620, 0.020554, 1.297871, 0.964281, 0.000000, 0.000000, -1.507548, -184.799839, 81.487694, -183.784846, 79.755916, -183.478348, 79.791992, 1.028751, -184.303737, 80.503994, -183.795500, 80.178162
0.782000, 1.116197, -1.329525, 0.092580, 1.370593, 0.938879, 0.000000, 0.000000, -1.403502, -184.799839, 81.487694, -183.777315, 79.711318, -183.441116, 79.753204, 1.028731, -184.284379, 80.443987, -183.794892, 80.177438
0.815000, 1.279368, -0.971428, 0.033417, 1.533574, 0.913516, 0.000000, 0.000000, -1.180447, -184.799839, 81.487694, -183.758058, 79.664517, -183.403107, 79.713676, 1.028702, -184.262484, 80.381488, -183.794195, 80.176909
0.848000, 1.360550, -0.852669, -0.147556, 1.506122, 0.888739, 0.000000, 0.000000, -1.220158, -184.799839, 81.487694, -183.740986, 79.617839, -183.364487, 79.673599, 1.028664, -184.238170, 80.316955, -183.793454, 80.176444
0.881000, 1.186463, -0.491062, -0.056094, 1.538732, 0.864751, 0.000000, 0.000000, -1.156807, -184.799839, 81.487694, -183.720559, 79.571351, -183.325363, 79.633148, 1.028619, -184.211499, 80.250842, -183.792808, 80.176177
0.914000, 1.089606, -0.201001, 0.148963, 1.597057, 0.841588, 0.000000, 0.000000, -1.194454, -184.799839, 81.487694, -183.701190, 79.522336, -183.285873, 79.592468, 1.028567, -184.182821, 80.183553, -183.792215, 80.176068
0.947000, 1.116020, -0.143579, 0.018607, 1.501031, 0.819223, 0.000000, 0.000000, -1.289500, -184.799839, 81.487694, -183.687439, 79.474749, -183.246094, 79.551704, 1.028512, -184.152598, 80.115496, -183.791607, 80.175989
0.980000, 0.906252, -0.191677, -0.174300, 1.619601, 0.797597, 0.000000, 0.000000, -1.377896, -184.799839, 81.487694, -183.677193, 79.422294, -183.206055, 79.510956, 1.028454, -184.121249, 80.046591, -183.791114, 80.175885
1.013000, 0.919292, -0.018730, -0.115651, 1.539982, 0.776631, 0.000000, 0.000000, -1.088996, -184.799839, 81.487694, -183.653645, 79.377259, -183.165817, 79.470284, 1.028396, -184.088383, 79.977398, -183.790613, 80.175875
1.046000, 0.802320, 0.109620, 0.075427, 1.614095, 0.756259, 0.000000, 0.000000, -1.148862, -184.799839, 81.487694, -183.631831, 79.328666, -183.125427, 79.429764, 1.028338, -184.054274, 79.908026, -183.790176, 80.175935
1.079000, 0.952534, 0.176390, -0.024319, 1.623599, 0.736415, 0.000000, 0.000000, -1.140988, -184.799839, 81.487694, -183.609505, 79.279960, -183.084900, 79.389427, 1.028283, -184.019004, 79.838681, -183.789658, 80.176031
1.112000, 0.834702, 0.259387, -0.033002, 1.570091, 0.716993, 0.000000, 0.000000, -1.115945, -184.799839, 81.487694, -183.586742, 79.233415, -183.044266, 79.349297, 1.028231, -183.982659, 79.769640, -183.789203, 80.176172
1.145000, 0.768930, 0.151077, -0.087525, 1.601468, 0.697915, 0.000000, 0.000000, -1.090368, -184.799839, 81.487694, -183.562318, 79.186549, -183.003555, 79.309395, 1.028183, -183.945365, 79.700952, -183.788785, 80.176254
1.178000, 0.746420, 0.095310, 0.010216, 1.597674, 0.679126, 0.000000, 0.000000, -1.074958, -184.799839, 81.487694, -183.537234, 79.140176, -182.962769, 79.269707, 1.028139, -183.907240, 79.632625, -183.788378, 80.176306
1.211000, 0.632095, 0.213116, 0.075947, 1.725051, 0.660555, 0.000000, 0.000000, -1.063642, -184.799839, 81.487694, -183.509585, 79.090414, -182.921890, 79.230255, 1.028100, -183.868321, 79.564584, -183.788034, 80.176422
1.244000, 0.677314, 0.291663, -0.011440, 1.732071, 0.642136, 0.000000, 0.000000, -1.092906, -184.799839, 81.487694, -183.483297, 79.039659, -182.880936, 79.191010, 1.028065, -183.828801, 79.496934, -183.787665, 80.176581
1.277000, 0.794662, 0.269928, -0.014202, 1.621327, 0.623810, 0.000000, 0.000000, -1.035698, -184.799839, 81.487694, -183.456014, 78.993635, -182.839935, 79.151962, 1.028034, -183.788623, 79.429986, -183.787233, 80.176728
1.310000, 0.606827, 0.249875, -0.071759, 1.579469, 0.605540, 0.000000, 0.000000, -1.214461, -184.799839, 81.487694, -183.437832, 78.944786, -182.798904, 79.113106, 1.028008, -183.748363, 79.363602, -183.786902, 80.176864
1.343000, 0.806486, 0.214899, 0.013486, 1.590834, 0.587285, 0.000000, 0.000000, -1.099658, -184.799839, 81.487694, -183.414003, 78.898008, -182.757812, 79.074417, 1.027985, -183.707785, 79.297884, -183.786463, 80.176981
1.376000, 0.693517, 0.201468, -0.014715, 1.607941, 0.568972, 0.000000, 0.000000, -0.951855, -184.799839, 81.487694, -183.383218, 78.854790, -182.716675, 79.035873, 1.027967, -183.666547, 79.233005, -183.786085, 80.177091
1.409000, 0.470830, 0.324252, 0.053071, 1.497658, 0.550647, 0.000000, 0.000000, -1.224189, -182.739217, 80.808133, -183.366429, 78.808306, -182.675507, 78.997444, 1.027951, -183.178696, 79.995362, -183.785829, 80.177267
1.442000, 0.675932, 0.201539, -0.114230, 1.700552, 0.532097, 0.000000, 0.000000, -1.087629, -182.739217, 80.808133, -183.340357, 78.758612, -182.634277, 78.959122, 1.027939, -183.144542, 79.939918, -183.785461, 80.177377
1.475000, 0.544080, 0.313036, -0.023369, 1.605019, 0.513353, 0.000000, 0.000000, -1.116022, -182.739217, 80.808133, -183.317091, 78.711030, -182.593018, 78.920868, 1.027929, -183.110278, 79.883446, -183.785165, 80.177547
1.508000, 0.560462, 0.115926, -0.003532, 1.762805, 0.494386, 0.000000, 0.000000, -1.145537, -182.739217, 80.808133, -183.293092, 78.658038, -182.551727, 78.882660, 1.027922, -183.075972, 79.825796, -183.784860, 80.177610
1.541000, 0.364477, 0.243658, -0.115016, 1.718715, 0.475153, 0.000000, 0.000000, -1.195883, -182.739217, 80.808133, -183.272322, 78.605260, -182.510422, 78.844482, 1.027916, -183.041827, 79.766982, -183.784661, 80.177743
1.574000, 0.394466, 0.324998, 0.183103, 1.736388, 0.455632, 0.000000, 0.000000, -0.881326, -182.739217, 80.808133, -183.235871, 78.561048, -182.469116, 78.806305, 1.027912, -183.007508, 79.707402, -183.784446, 80.177920
1.607000, 0.699354, 0.217636, 0.051040, 1.607287, 0.435784, 0.000000, 0.000000, -0.989997, -182.739217, 80.808133, -183.206769, 78.516705, -182.427826, 78.768097, 1.027910, -182.973050, 79.647097, -183.784066, 80.178039
1.640000, 0.451228, 0.165869, 0.026792, 1.609784, 0.415539, 0.000000, 0.000000, -1.011336, -182.739217, 80.808133, -183.178575, 78.471681, -182.386581, 78.729843, 1.027908, -182.938461, 79.586023, -183.783820, 80.178129
1.673000, 0.371261, 0.222679, -0.086183, 1.623047, 0.394849, 0.000000, 0.000000, -0.718273, -182.739217, 80.808133, -183.138247, 78.436434, -182.345383, 78.691521, 1.027907, -182.903565, 79.524538, -183.783618, 80.178250
1.706000, 0.431657, 0.025110, 0.128557, 1.715913, 0.373656, 0.000000, 0.000000, -0.842560, -182.739217, 80.808133, -183.100560, 78.394172, -182.304230, 78.653091, 1.027907, -182.868450, 79.462426, -183.783383, 80.178264
1.739000, 0.567279, 0.096801, 0.160350, 1.587484, 0.351918, 0.000000, 0.000000, -0.977086, -182.739217, 80.808133, -183.071252, 78.350749, -182.263199, 78.614532, 1.027908, -182.833269, 79.399654, -183.783074, 80.178317
1.772000, 0.232344, 0.062728, -0.026884, 1.743526, 0.329604, 0.000000, 0.000000, -1.087448, -182.739217, 80.808133, -183.044512, 78.299804, -182.222260, 78.575806, 1.027908, -182.798216, 79.336076, -183.782947, 80.178351
1.805000, 0.315390, 0.077290, -0.011231, 1.725681, 0.306604, 0.000000, 0.000000, -1.076839, -182.739217, 80.808133, -183.017513, 78.249664, -182.181473, 78.536880, 1.027910, -182.763421, 79.271773, -183.782776, 80.178393
1.838000, 0.234735, -0.013913, -0.043133, 1.754407, 0.282865, 0.000000, 0.000000, -0.938033, -182.739217, 80.808133, -182.983275, 78.202977, -182.140869, 78.497726, 1.027911, -182.728650, 79.206879, -183.782648, 80.178385
1.871000, 0.168706, 0.120401, -0.014098, 1.636711, 0.258329, 0.000000, 0.000000, -0.987419, -182.739217, 80.808133, -182.953523, 78.157899, -182.100464, 78.458298, 1.027912, -182.694121, 79.141536, -183.782556, 80.178451
1.904000, 0.261641, 0.030243, -0.015780, 1.779604, 0.232930, 0.000000, 0.000000, -0.810117, -182.739217, 80.808133, -182.913036, 78.115359, -182.060303, 78.418564, 1.027914, -182.659462, 79.075916, -183.782413, 80.178467
1.937000, 0.152952, -0.167734, -0.041205, 1.566779, 0.206612, 0.000000, 0.000000, -0.889416, -182.739217, 80.808133, -182.880469, 78.075201, -182.020401, 78.378487, 1.027915, -182.624933, 79.010012, -183.782330, 80.178376
1.970000, 0.146039, 0.198631, -0.087144, 1.671095, 0.179308, 0.000000, 0.000000, -0.833734, -182.739217, 80.808133, -182.843405, 78.034368, -181.980881, 78.338005, 1.027916, -182.590439, 78.943955, -183.782251, 80.178484
2.003000, 0.168713, -0.222176, -0.031017, 1.702233, 0.151022, 0.000000, 0.000000, -0.963886, -182.739217, 80.808133, -182.811367, 77.988226, -181.941696, 78.297096, 1.027917, -182.556131, 78.877596, -183.782159, 80.178363
2.036000, 0.331422, 0.152542, 0.025117, 1.754439, 0.121666, 0.000000, 0.000000, -1.213205, -182.739217, 80.808133, -182.791102, 77.933992, -181.902985, 78.255699, 1.027917, -182.522304, 78.810692, -183.781978, 80.178446
2.069000, 0.241603, 0.072484, 0.111319, 1.717999, 0.091282, 0.000000, 0.000000, -0.763096, -182.739217, 80.808133, -182.750130, 77.894807, -181.864746, 78.213783, 1.027917, -182.488204, 78.743972, -183.781847, 80.178486
2.102000, 0.090936, 0.053659, 0.008763, 1.820840, 0.059833, 0.000000, 0.000000, -0.765525, -182.739217, 80.808133, -182.706805, 77.853172, -181.827072, 78.171288, 1.027917, -182.453868, 78.677345, -183.781797, 80.178515
2.135000, 0.052276, -0.048140, -0.142811, 1.811198, 0.027370, 0.000000, 0.000000, -1.044249, -182.739217, 80.808133, -182.676768, 77.801498, -181.790009, 78.128166, 1.027915, -182.419854, 78.610443, -183.781769, 80.178489
2.168000, -0.044578, -0.086712, 0.005578, 1.741518, -0.006080, 0.000000, 0.000000, -0.741008, -182.739217, 80.808133, -182.634367, 77.762704, -181.753693, 78.084366, 1.027914, -182.385784, 78.543690, -183.781793, 80.178441
2.201000, -0.048481, -0.103605, 0.000118, 1.629944, -0.040343, 0.000000, 0.000000, -1.013940, -182.739217, 80.808133, -182.605939, 77.717042, -181.718140, 78.039879, 1.027911, -182.352194, 78.476858, -183.781819, 80.178385
2.234000, -0.015179, -0.064958, 0.017364, 1.689134, -0.075275, 0.000000, 0.000000, -0.920140, -182.739217, 80.808133, -182.572176, 77.672689, -181.683411, 77.994659, 1.027908, -182.318861, 78.410046, -183.781828, 80.178350
2.267000, 0.001623, -0.071456, 0.080367, 1.719857, -0.110620, 0.000000, 0.000000, -0.761950, -182.739217, 80.808133, -182.531114, 77.633509, -181.649551, 77.948761, 1.027901, -182.285484, 78.343496, -183.781827, 80.178311
2.300000, -0.212350, 0.027964, -0.024900, 1.728731, -0.146003, 0.000000, 0.000000, -0.915247, -182.739217, 80.808133, -182.496338, 77.588286, -181.616653, 77.902260, 1.027892, -182.252380, 78.277072, -183.781942, 80.178326
2.333000, -0.350645, -0.031912, -0.059688, 1.736746, -0.181046, 0.000000, 0.000000, -0.824192, -182.739217, 80.808133, -182.457414, 77.546219, -181.584778, 77.855164, 1.027880, -182.219568, 78.210938, -183.782133, 80.178309
2.366000, -0.287544, -0.147697, -0.020567, 1.654870, -0.216661, 0.000000, 0.000000, -1.000017, -182.739217, 80.808133, -182.427908, 77.500265, -181.553925, 77.807373, 1.027870, -182.187408, 78.144888, -183.782290, 80.178228
2.399000, -0.298756, -0.100383, 0.030049, 1.656686, -0.252503, 0.000000, 0.000000, -0.953756, -184.445845, 82.146047, -182.396275, 77.455676, -181.524094, 77.758812, 1.027862, -183.116576, 79.785319, -183.782453, 80.178173
2.432000, -0.050294, -0.082449, -0.007012, 1.662191, -0.288138, 0.000000, 0.000000, -0.927803, -184.445845, 82.146047, -182.363386, 77.411778, -181.495346, 77.709435, 1.027856, -183.079498, 79.725186, -183.782480, 80.178129
2.465000, -0.188232, -0.286862, -0.049424, 1.765946, -0.323098, 0.000000, 0.000000, -0.799556, -184.445845, 82.146047, -182.322766, 77.369991, -181.467636, 77.659210, 1.027852, -183.041897, 79.663407, -183.782582, 80.177972
2.498000, -0.087002, -0.462698, 0.024551, 1.753777, -0.357085, 0.000000, 0.000000, -0.824113, -184.445845, 82.146047, -182.283457, 77.327514, -181.441055, 77.608124, 1.027850, -183.003827, 79.599811, -183.782630, 80.177720
2.531000, -0.251700, -0.301720, 0.077203, 1.670477, -0.389650, 0.000000, 0.000000, -1.063010, -184.445845, 82.146047, -182.256652, 77.279344, -181.415588, 77.556168, 1.027848, -182.965608, 79.534316, -183.782767, 80.177556
2.564000, -0.170429, -0.303173, -0.095747, 1.769873, -0.420541, 0.000000, 0.000000, -0.859403, -184.445845, 82.146047, -182.218520, 77.235104, -181.391220, 77.503349, 1.027848, -182.927039, 79.467151, -183.782860, 80.177391
2.597000, -0.588389, -0.202474, 0.022580, 1.693403, -0.449556, 0.000000, 0.000000, -1.007808, -184.445845, 82.146047, -182.188694, 77.187846, -181.368057, 77.449677, 1.027847, -182.888498, 79.398358, -183.783180, 80.177281
2.630000, -0.363969, -0.422046, 0.049523, 1.693081, -0.476354, 0.000000, 0.000000, -0.838991, -184.445845, 82.146047, -182.151360, 77.146280, -181.346054, 77.395157, 1.027846, -182.849919, 79.328065, -183.783378, 80.177051
2.663000, -0.243110, -0.342796, 0.016842, 1.675420, -0.500859, 0.000000, 0.000000, -1.091559, -184.445845, 82.146047, -182.125866, 77.097219, -181.325226, 77.339813, 1.027846, -182.811403, 79.256085, -183.783511, 80.176864
2.696000, -0.630718, -0.572239, 0.051399, 1.837892, -0.522946, 0.000000, 0.000000, -0.876730, -184.445845, 82.146047, -182.087070, 77.050600, -181.305588, 77.283661, 1.027845, -182.772782, 79.182462, -183.783854, 80.176553
2.729000, -0.377407, -0.271095, -0.099819, 1.812922, -0.542536, 0.000000, 0.000000, -0.921935, -184.445845, 82.146047, -182.050918, 77.002932, -181.287079, 77.226730, 1.027844, -182.734195, 79.107280, -183.784060, 80.176405
2.762000, -0.471861, -0.597256, -0.023709, 1.673496, -0.559692, 0.000000, 0.000000, -0.985570, -184.445845, 82.146047, -182.020412, 76.956897, -181.269730, 77.169029, 1.027844, -182.695699, 79.030638, -183.784316, 80.176080
2.795000, -0.553164, -0.628765, 0.059435, 1.672088, -0.574378, 0.000000, 0.000000, -0.982026, -184.445845, 82.146047, -181.989769, 76.911009, -181.253494, 77.110619, 1.027843, -182.657393, 78.952424, -183.784618, 80.175738
2.828000, -0.508700, -0.646336, 0.003433, 1.777826, -0.586697, 0.000000, 0.000000, -0.895669, -184.445845, 82.146047, -181.953102, 76.865211, -181.238373, 77.051498, 1.027843, -182.619148, 78.872695, -183.784895, 80.175386
2.861000, -0.452306, -0.511447, 0.042882, 1.813100, -0.596697, 0.000000, 0.000000, -1.013821, -184.445845, 82.146047, -181.921473, 76.814422, -181.224335, 76.991730, 1.027843, -182.581040, 78.791466, -183.785141, 80.175107
2.894000, -0.463445, -0.644597, -0.103560, 1.783485, -0.604399, 0.000000, 0.000000, -1.093358, -184.445845, 82.146047, -181.894429, 76.762148, -181.211319, 76.931320, 1.027843, -182.543173, 78.708779, -183.785393, 80.174756
2.927000, -0.463706, -0.626409, -0.020731, 1.815051, -0.610145, 0.000000, 0.000000, -1.073518, -184.445845, 82.146047, -181.865856, 76.709506, -181.199326, 76.870293, 1.027844, -182.505520, 78.624641, -183.785646, 80.174415
2.960000, -0.471777, -0.679193, -0.032516, 1.794337, -0.613954, 0.000000, 0.000000, -1.236960, -184.445845, 82.146047, -181.846454, 76.653562, -181.188293, 76.808708, 1.027845, -182.468336, 78.539026, -183.785903, 80.174045
2.993000, -0.552325, -0.857529, -0.007923, 1.869352, -0.616003, 0.000000, 0.000000, -1.121736, -184.445845, 82.146047, -181.819674, 76.597989, -181.178223, 76.746597, 1.027846, -182.431480, 78.451903, -183.786203, 80.173578
3.026000, -0.401779, -0.737364, -0.039621, 1.758471, -0.616392, 0.000000, 0.000000, -1.013446, -184.445845, 82.146047, -181.788980, 76.548742, -181.169083, 76.683983, 1.027847, -182.394811, 78.363497, -183.786422, 80.173177
3.059000, -0.654058, -0.635119, 0.072763, 1.814451, -0.615256, 0.000000, 0.000000, -1.107050, -184.445845, 82.146047, -181.762197, 76.495189, -181.160782, 76.620934, 1.027847, -182.358495, 78.273893, -183.786778, 80.172831
3.092000, -0.645061, -0.603468, -0.014007, 1.855824, -0.612900, 0.000000, 0.000000, -1.167854, -184.445845, 82.146047, -181.738182, 76.438852, -181.153336, 76.557495, 1.027846, -182.322742, 78.183165, -183.787130, 80.172503
3.125000, -0.655245, -0.554945, -0.172630, 1.862505, -0.609490, 0.000000, 0.000000, -1.055193, -184.445845, 82.146047, -181.707877, 76.385380, -181.146698, 76.493736, 1.027845, -182.287376, 78.091513, -183.787486, 80.172200
3.158000, -0.669898, -0.494110, 0.071853, 1.820845, -0.604914, 0.000000, 0.000000, -1.207243, -184.445845, 82.146047, -181.686510, 76.329219, -181.140854, 76.429634, 1.027845, -182.252659, 77.998994, -183.787851, 80.171931
3.191000, -0.763312, -0.673701, 0.031517, 1.874528, -0.599182, 0.000000, 0.000000, -1.356387, -184.445845, 82.146047, -181.673348, 76.268776, -181.135757, 76.365204, 1.027845, -182.218883, 77.905494, -183.788267, 80.171564
3.224000, -0.688496, -0.654641, -0.006388, 1.850323, -0.592434, 0.000000, 0.000000, -1.159767, -184.445845, 82.146047, -181.648951, 76.212801, -181.131378, 76.300446, 1.027846, -182.185729, 77.811128, -183.788642, 80.171208
3.257000, -0.720253, -0.436509, -0.050683, 1.815953, -0.584805, 0.000000, 0.000000, -1.194258, -184.445845, 82.146047, -181.626916, 76.157073, -181.127670, 76.235382, 1.027848, -182.153239, 77.716102, -183.789034, 80.170970
3.290000, -0.686432, -0.341901, -0.017840, 1.987916, -0.576409, 0.000000, 0.000000, -1.149915, -184.445845, 82.146047, -181.600114, 76.097197, -181.124603, 76.170029, 1.027851, -182.121265, 77.620527, -183.789408, 80.170784
3.323000, -0.735121, -0.469989, -0.005562, 1.883620, -0.567322, 0.000000, 0.000000, -1.226773, -184.445845, 82.146047, -181.579149, 76.038680, -181.122147, 76.104401, 1.027854, -182.089981, 77.524486, -183.789808, 80.170528
3.356000, -0.736741, -0.550507, 0.017170, 1.863874, -0.557643, 0.000000, 0.000000, -1.232240, -184.445845, 82.146047, -181.558720, 75.980663, -181.120270, 76.038528, 1.027857, -182.059421, 77.427942, -183.790209, 80.170229
3.389000, -0.647733, -0.525007, -0.174847, 1.934641, -0.547454, 0.000000, 0.000000, -1.369015, -179.654755, 73.966222, -181.545925, 75.918115, -181.118973, 75.972427, 1.027860, -181.142904, 76.074421, -183.790562, 80.169943
3.422000, -0.530022, -0.561950, -0.147505, 1.983668, -0.536688, 0.000000, 0.000000, -1.265407, -179.654755, 73.966222, -181.526243, 75.855683, -181.118195, 75.906113, 1.027863, -181.120235, 75.993797, -183.790850, 80.169637
3.455000, -0.690003, -0.304036, 0.201193, 1.940787, -0.525615, 0.000000, 0.000000, -1.295903, -179.654755, 73.966222, -181.508859, 75.794042, -181.117966, 75.839600, 1.027866, -181.098596, 75.912984, -183.791226, 80.169471
3.488000, -0.612868, -0.400872, 0.196784, 1.894326, -0.514122, 0.000000, 0.000000, -1.521299, -179.654755, 73.966222, -181.505766, 75.731606, -181.118179, 75.772911, 1.027869, -181.078300, 75.832073, -183.791560, 80.169253
3.521000, -0.784808, -0.566641, -0.132488, 1.915778, -0.502355, 0.000000, 0.000000, -1.472929, -179.654755, 73.966222, -181.499588, 75.668688, -181.118881, 75.706039, 1.027872, -181.059330, 75.750936, -183.791987, 80.168944
3.554000, -0.718995, -0.459243, -0.051985, 1.840134, -0.490282, 0.000000, 0.000000, -1.208090, -179.654755, 73.966222, -181.478043, 75.611914, -181.120041, 75.639015, 1.027875, -181.041422, 75.669688, -183.792378, 80.168694
3.587000, -0.547360, -0.318131, 0.059189, 1.930954, -0.477925, 0.000000, 0.000000, -1.254144, -179.654755, 73.966222, -181.458201, 75.551360, -181.121597, 75.571831, 1.027877, -181.024461, 75.588411, -183.792676, 80.168521
3.620000, -0.709412, -0.490161, 0.001536, 1.953107, -0.465372, 0.000000, 0.000000, -1.293463, -179.654755, 73.966222, -181.440554, 75.489371, -181.123550, 75.504501, 1.027880, -181.008469, 75.507082, -183.793063, 80.168254
3.653000, -0.507228, -0.355770, 0.138618, 1.975440, -0.452636, 0.000000, 0.000000, -1.428899, -179.654755, 73.966222, -181.431335, 75.424836, -181.125854, 75.437027, 1.027883, -180.993584, 75.425646, -183.793339, 80.168060
3.686000, -0.642350, -0.308077, 0.074170, 1.928174, -0.439760, 0.000000, 0.000000, -1.460400, -179.654755, 73.966222, -181.424325, 75.361594, -181.128525, 75.369415, 1.027886, -180.979804, 75.344250, -183.793689, 80.167893
3.719000, -0.567415, -0.434946, -0.036747, 1.926358, -0.426727, 0.000000, 0.000000, -1.473162, -179.654755, 73.966222, -181.418128, 75.298327, -181.131500, 75.301651, 1.027889, -180.967164, 75.262870, -183.793998, 80.167656
3.752000, -0.454864, -0.169359, 0.186329, 1.950207, -0.413604, 0.000000, 0.000000, -1.432167, -179.654755, 73.966222, -181.409235, 75.234587, -181.134796, 75.233757, 1.027892, -180.955487, 75.181587, -183.794245, 80.167564
3.785000, -0.519811, -0.305153, 0.033874, 2.024642, -0.400377, 0.000000, 0.000000, -1.253703, -179.654755, 73.966222, -181.388402, 75.171105, -181.138382, 75.165718, 1.027895, -180.944462, 75.100495, -183.794528, 80.167397
